"Year","April_FFDI"
1953,28.301256865134
1957,21.7036271528764
1958,31.0911459241595
1963,15.0870105239736
1965,14.5810005014593
1968,27.1834890605051
1972,36.8249149817925
1976,28.6333821366876
1977,38.7974243907185
1979,25.5520767938523
1982,27.9764035212529
1986,29.5254675134436
1987,32.8443762585198
1991,27.1850951966785
1994,50.3976700687821
1997,33.2170107540114
2002,29.7748480627547
2004,43.2028269334273
2006,32.0553475004254
2009,23.4515116348927
2015,37.2220722132431
2018,37.9231493648513
