"Year","August_FFDI"
1953,9.23294708326265
1957,16.2663409926675
1958,5.13061411298199
1963,5.88039042268481
1965,6.24290864137344
1968,7.27073223353464
1972,11.3216083968357
1976,20.9760889098758
1977,24.5749791463216
1979,6.59861244370927
1982,33.0588036161481
1986,8.04441810686351
1987,13.4842341101015
1991,8.88538755173291
1994,17.5220876555422
1997,21.0076748468143
2002,26.4872101044758
2004,22.8124494470043
2006,37.8962699469034
2009,17.5747219432484
2015,12.1483082709374
2018,15.4884112428277
