"Year","DJF_FFDI"
1954,35.6436848936315
1958,50.3309814128353
1959,39.1095830042125
1964,45.0839876447405
1966,38.5827884151134
1969,47.107391277605
1973,43.3758598653785
1977,65.4388474330929
1978,49.2695623373056
1980,56.3017160902808
1983,83.6261597615472
1987,50.4648063736732
1988,47.5131789148284
1992,60.2076205794429
1995,55.9354320239883
1998,68.8630857041044
2003,68.4276926500285
2005,72.7993686051252
2007,68.5914377870326
2010,61.5592718606044
2016,70.9141290893114
2019,81.8724289325753
