"Year","Dec_FFDI"
1953,34.4460901532854
1957,55.5246100652786
1958,28.367525154378
1963,41.751279690565
1965,39.2432355261468
1968,34.7095762806021
1972,64.2904814848136
1976,74.460704572273
1977,53.3045914307301
1979,50.6921849188867
1982,49.2166508596181
1986,30.1310491685743
1987,37.1823742523854
1991,50.7536564781552
1994,80.3798024561498
1997,53.9889542881028
2002,73.7959096834257
2004,50.6752809466738
2006,77.1166840260163
2009,63.0349207956554
2015,89.379695578571
2018,78.0355353582473
