"Year","Feb_FFDI"
1953,38.6944397269905
1957,37.0687080482384
1958,47.289793262234
1963,35.3524994540524
1965,49.0229536774871
1968,57.1366032356824
1972,37.8790188248539
1976,33.5354711937182
1977,51.2455649024996
1979,39.7936925764208
1982,60.7127574078448
1986,37.5171022126169
1987,80.225982732071
1991,78.621955772499
1994,33.5945138146867
1997,50.5217970150374
2002,40.0073948154202
2004,85.3844776070995
2006,44.3735770601215
2009,124.327476864769
2015,63.3202620006743
2018,50.1570931471787
