"Year","Jan_FFDI"
1953,42.1061550817448
1957,42.0715513931208
1958,48.1785409109933
1963,35.1726316394228
1965,59.1807244701303
1968,53.8215726464342
1972,36.5478928058178
1976,58.8143006527063
1977,70.6102728245062
1979,61.1829694937834
1982,63.2798068389232
1986,38.6848058246431
1987,41.0373872203744
1991,53.202638799494
1994,46.8038653831977
1997,52.6183903516629
2002,61.2099238226424
2004,51.067775552923
2006,61.0388258071173
2009,69.7276499529422
2015,62.8988645149
2018,83.5817426210874
