"Year","June_FFDI"
1953,6.61873912914491
1957,9.14727275608938
1958,10.4956681718042
1963,3.4535671289349
1965,6.87782085406316
1968,2.55953598693336
1972,10.4266952229785
1976,15.4520156269982
1977,6.27527611957484
1979,7.3740916097319
1982,11.8655070618634
1986,4.93056220925732
1987,4.30127016445259
1991,10.4372282688752
1994,14.128024287038
1997,18.4957910760657
2002,18.3375641339785
2004,8.75309769312541
2006,7.52120817481697
2009,14.8508803338716
2015,5.43747016413387
2018,7.94708838400903
