"Year","March_FFDI"
1953,41.2487749702487
1957,26.8442148728804
1958,26.0625693911598
1963,27.1733989013738
1965,44.3874866683762
1968,36.3734810981916
1972,25.2423618201054
1976,33.1751867104402
1977,59.282658250817
1979,38.2326771954953
1982,30.8879132539163
1986,62.6720822321904
1987,28.9792144990071
1991,54.2290972424792
1994,33.1077185131255
1997,44.9538523934104
2002,53.412882503493
2004,52.4747839097853
2006,82.381548497584
2009,63.4254018445036
2015,32.6320796817928
2018,56.1105634846213
