"Year","Nov_FFDI"
1954,19.3954873105664
1958,46.1414436860518
1959,20.4502104102791
1964,28.1754815361717
1966,39.7281363185866
1969,29.4897156463557
1973,44.1930082659701
1977,21.7507579233739
1978,38.9035573769441
1980,21.9236260781556
1983,81.8300015833471
1987,23.0379327262119
1988,76.268104933041
1992,23.907180815032
1995,41.1904215131487
1998,49.984297739995
2003,66.6508127848307
2005,35.3865210628097
2007,94.6433661820053
2010,45.923281591176
2016,82.2332309210971
2019,60.8027758164839
