"Year","Oct_FFDI"
1953,17.0332476298014
1957,42.4396952426795
1958,10.3736643584776
1963,17.0473904836745
1965,46.6680983010825
1968,15.2423465220959
1972,20.906608734296
1976,12.6811118208485
1977,47.5213424302799
1979,12.6790183963198
1982,49.8592693527023
1986,11.6305963136417
1987,18.6218646078399
1991,44.9933076586042
1994,44.7438750494094
1997,36.5899681239933
2002,64.3284540135107
2004,72.9471214261406
2006,80.8357664000936
2009,18.1448964308867
2015,65.1917976197742
2018,44.0359101873456
