"Year","April_FFDI"
1950,9.10376792139821
1954,32.9305975199778
1955,16.6946210200652
1964,24.4274207193614
1967,23.9036223960645
1970,26.4261493930569
1971,23.8048403232129
1973,21.6840179080055
1975,27.6280987933601
1983,17.1584788793093
1984,20.0232502185937
1988,18.250337833966
1995,19.2425777984388
1998,33.7153203477075
1999,17.4296355185571
2000,27.846168146505
2005,45.4209541304287
2007,27.2999410422849
2008,31.692789787854
2010,16.9238005283075
2011,19.4829732515079
2017,30.3725040650471
