"Year","Jan_FFDI"
1950,23.4403790395497
1954,39.9711614749132
1955,37.5349161304953
1964,54.6724358182965
1967,49.3833652017437
1970,35.9868627771155
1971,63.29752029485
1973,50.2290065319507
1975,34.4389129985463
1983,80.4663354287416
1984,32.247526400017
1988,50.1507549533596
1995,45.4662737990871
1998,60.0585710269548
1999,59.368167695545
2000,48.455288511334
2005,115.431869936196
2007,69.8534055932776
2008,74.932040738853
2010,77.202840053674
2011,30.4153382932985
2017,75.2146188314859
