"Year","July_FFDI"
1950,4.35189557488347
1954,6.87146054769491
1955,3.87477289391803
1964,13.0457969888464
1967,6.13958423013811
1970,9.04101602546064
1971,4.97374328287133
1973,3.60750673395215
1975,20.3583448377006
1983,4.35841195253067
1984,7.71301699407173
1988,3.24258692440016
1995,3.98185710318677
1998,4.88405464325116
1999,9.64012878591364
2000,10.8538442937843
2005,8.99769988410917
2007,7.67216932205927
2008,6.96234754256872
2010,4.75802632495438
2011,9.6934096544852
2017,15.9194203991911
