"Year","June_FFDI"
1950,4.23057880288079
1954,6.52416977428255
1955,4.30738424480735
1964,6.00744955325539
1967,7.60720603496997
1970,5.59241941687349
1971,4.82745275662575
1973,5.11514472755003
1975,8.79775224000345
1983,4.49924743110999
1984,14.6299417359488
1988,5.04880625912637
1995,3.94756314351961
1998,10.335294044379
1999,8.45759627210113
2000,7.35105882268963
2005,16.2801818021964
2007,6.55886118236558
2008,8.98944832649066
2010,7.5218485918912
2011,6.61365955319756
2017,4.90008124231776
