"Year","March_FFDI"
1950,17.1073912046688
1954,33.4431601767932
1955,33.6220682069853
1964,33.034755409538
1967,27.0239466382312
1970,28.8001121339344
1971,32.6985723982642
1973,23.632505165034
1975,34.1588529363855
1983,39.0367615687383
1984,33.7389688863383
1988,51.7635583918848
1995,27.9282894712506
1998,73.2203913106547
1999,28.0193079209431
2000,42.0901818296094
2005,66.0903128917083
2007,47.6057433751754
2008,56.096510833476
2010,30.2808040106967
2011,22.0039735108743
2017,57.0019553708824
