"Year","Nov_FFDI"
1951,38.7945734412123
1955,35.9907227677184
1956,25.7404735656012
1965,24.1619208199637
1968,55.5323649319735
1971,20.6800989464764
1972,15.3505733498247
1974,15.118000482584
1976,25.5202477896884
1984,17.6742713874553
1985,39.4305552940864
1989,57.2984982775403
1996,36.9842880381134
1999,28.5627733494812
2000,25.923139522602
2001,38.733159490478
2006,36.9271510483383
2008,38.3185673544417
2009,54.1601476545458
2011,20.9487581542044
2012,41.3818340301514
2018,39.2210217595616
