"Year","April_FFDI"
1951,16.7919536937367
1952,19.5484134872238
1956,10.796082468776
1959,13.7008689451011
1960,20.8384733200073
1961,14.3044735177771
1962,37.1570469827363
1966,30.5463457313967
1969,37.141533541989
1974,10.1897690203283
1978,36.7016873462892
1980,45.9938524254473
1981,22.9147909048832
1985,31.6846709891315
1989,12.1497356055619
1990,27.5781556827165
1992,31.0660182696916
1993,32.4408484372226
1996,13.5765205069538
2001,35.3298118558281
2003,24.2146886065925
2012,40.7188078232142
2013,37.0497319770582
2014,45.9229595795338
2016,31.8155587349103
2019,42.7423454218613
