"Year","August_FFDI"
1951,5.17873760064443
1952,7.29599642237544
1956,4.17467875140054
1959,8.88942064970603
1960,6.54149196364663
1961,10.3076612608773
1962,16.116369511658
1966,6.60425336742814
1969,8.55579479896661
1974,7.66646068333547
1978,4.42088396621473
1980,13.1676536700426
1981,4.8997075955073
1985,7.5015722280973
1989,4.0855197483327
1990,10.1193961292118
1992,8.58126486947526
1993,13.103638139122
1996,4.83966104705612
2001,15.167321508581
2003,13.087753578698
2012,13.8765147609628
2013,18.3267287258462
2014,15.4062716083609
2016,16.0231252191387
2019,8.31438998639326
