"Year","DJF_FFDI"
1952,47.0558924571776
1953,35.7217515639928
1957,37.3174089841856
1960,35.4922743180785
1961,48.0853184566525
1962,47.5505612993997
1963,40.6667059200667
1967,42.3879707385968
1970,39.8860280090596
1975,40.7248881561588
1979,45.7528645651681
1981,53.7513933938647
1982,58.5421919334158
1986,34.8564941755793
1990,55.119392650984
1991,83.891970657855
1993,38.4042859194426
1994,41.4154118762216
1997,47.1792168114953
2002,52.0589438351718
2004,63.6405026957414
2013,60.7371393261534
2014,72.1638621926136
2015,57.7707896390863
2017,65.5942795410817
2020,61.3344273959403
