"Year","Dec_FFDI"
1951,37.005974435187
1952,26.3646598832432
1956,32.8119675111977
1959,29.5081860203764
1960,45.350847731421
1961,48.6448257495831
1962,51.4749866667248
1966,29.3195250127223
1969,36.4335047734248
1974,35.4247127962319
1978,36.2819316253002
1980,63.9768287856857
1981,51.6340115534795
1985,28.3675744894779
1989,45.8764396271148
1990,119.851317401572
1992,15.5905273528326
1993,43.8478564307803
1996,38.3974630677855
2001,54.9595128674528
2003,54.4692549272017
2012,58.8852058096882
2013,81.2960985687388
2014,47.0932424016845
2016,53.6696618398031
2019,98.3709190005348
