"Year","Feb_FFDI"
1951,44.3865070921002
1952,44.8268381919696
1956,42.1778627948844
1959,33.0486695343282
1960,26.8505001769953
1961,46.3028918840152
1962,51.2386972171404
1966,36.4411146733668
1969,32.1033719298127
1974,24.8246232152501
1978,42.7131568611442
1980,70.6352109207219
1981,39.7748741215958
1985,40.6224259710931
1989,63.5008640371876
1990,33.7786967372481
1992,62.063097734988
1993,51.1847631281072
1996,49.5079972651098
2001,48.0048910363928
2003,55.2220764325295
2012,41.961813121647
2013,50.394420656807
2014,68.6442984213561
2016,45.9574585126076
2019,75.2040340539181
