"Year","July_FFDI"
1951,4.07677304628607
1952,3.41503256894809
1956,3.61337525245947
1959,10.0835718386101
1960,3.98193542678635
1961,5.38191861301273
1962,6.59838074935979
1966,11.5885301554874
1969,5.61457949386531
1974,4.37855039943348
1978,6.30592822564113
1980,4.22866882906332
1981,4.11005615981626
1985,13.1956875107505
1989,3.98883184674498
1990,12.2862931949236
1992,9.93956258080222
1993,9.05914157396787
1996,2.92523007914101
2001,10.9085470721835
2003,9.72805326428764
2012,6.22547185188764
2013,9.23620135959609
2014,12.9383254949149
2016,3.82428081159468
2019,8.35245405853569
