"Year","June_FFDI"
1951,3.6726802030167
1952,3.72678594336365
1956,2.27296872546663
1959,8.58613143958055
1960,3.12596390360878
1961,6.78746921727152
1962,7.992112688946
1966,6.10698038107389
1969,10.7946079799107
1974,5.89146839282213
1978,5.63079592263028
1980,5.45898622609836
1981,4.01858811615865
1985,8.33605018529025
1989,4.03255960796819
1990,10.1705547989189
1992,9.12434690855282
1993,12.8471797813069
1996,9.07463926567144
2001,13.5225942103894
2003,15.7803558931722
2012,13.9176670431575
2013,4.91907556026013
2014,6.09394017855326
2016,4.99184326846878
2019,6.95002546248498
