"Year","March_FFDI"
1951,35.431475304938
1952,31.3660164416094
1956,17.8789977242936
1959,36.4820791302305
1960,42.2063162337134
1961,33.6222113407019
1962,29.9799556979885
1966,44.1376570664443
1969,34.825285866147
1974,27.3040765043977
1978,55.8695211369238
1980,52.4740027885932
1981,38.4392634057379
1985,33.206672883137
1989,37.2675065870409
1990,36.2267400237905
1992,42.1823628908628
1993,21.3772367357692
1996,51.5961411050904
2001,38.6775228161832
2003,50.8886506712282
2012,28.5624926926254
2013,47.2972895799777
2014,31.3752868289039
2016,51.0892821638099
2019,43.6112857835117
