"Year","May_FFDI"
1951,14.3340688721958
1952,11.0205834407311
1956,3.15390939655758
1959,17.4050269168177
1960,5.52601635404479
1961,14.7948802374142
1962,19.004698125831
1966,18.3389785279443
1969,18.5800312029851
1974,3.70061265157931
1978,32.3639620000666
1980,8.19645209900744
1981,24.2198480465711
1985,17.4353302216633
1989,5.86561570023045
1990,34.2327398407511
1992,12.1291177953993
1993,17.748720049342
1996,21.7205529729009
2001,17.9406537183952
2003,13.8669878517911
2012,23.3638307645723
2013,26.0636943387779
2014,17.8453637903387
2016,16.8806741124108
2019,11.2295239312308
