"Year","Nov_FFDI"
1952,32.763682468629
1953,14.5262258703058
1957,30.3102568011263
1960,42.9449182072759
1961,22.7340226689458
1962,30.0892503333814
1963,31.8543532730697
1967,44.0160373010677
1970,35.6721394443925
1975,19.2173092416871
1979,37.6877031119871
1981,37.2422851793694
1982,30.4975073265307
1986,20.199457176836
1990,25.0370128804987
1991,42.0708125886463
1993,27.9089014210226
1994,42.1782477572883
1997,50.1924040658133
2002,26.5588981950438
2004,45.6447507932589
2013,49.659705562509
2014,33.9748068722812
2015,59.6992129288711
2017,33.815634628395
2020,48.535598110843
