"Year","April_FFDI"
1950,9.10376792139821
1951,16.7919536937367
1952,19.5484134872238
1953,28.301256865134
1954,32.9305975199778
1955,16.6946210200652
1956,10.796082468776
1957,21.7036271528764
1958,31.0911459241595
1959,13.7008689451011
1960,20.8384733200073
1961,14.3044735177771
1962,37.1570469827363
1963,15.0870105239736
1964,24.4274207193614
1965,14.5810005014593
1966,30.5463457313967
1967,23.9036223960645
1968,27.1834890605051
1969,37.141533541989
1970,26.4261493930569
1971,23.8048403232129
1972,36.8249149817925
1973,21.6840179080055
1974,10.1897690203283
1975,27.6280987933601
1976,28.6333821366876
1977,38.7974243907185
1978,36.7016873462892
1979,25.5520767938523
1980,45.9938524254473
1981,22.9147909048832
1982,27.9764035212529
1983,17.1584788793093
1984,20.0232502185937
1985,31.6846709891315
1986,29.5254675134436
1987,32.8443762585198
1988,18.250337833966
1989,12.1497356055619
1990,27.5781556827165
1991,27.1850951966785
1992,31.0660182696916
1993,32.4408484372226
1994,50.3976700687821
1995,19.2425777984388
1996,13.5765205069538
1997,33.2170107540114
1998,33.7153203477075
1999,17.4296355185571
2000,27.846168146505
2001,35.3298118558281
2002,29.7748480627547
2003,24.2146886065925
2004,43.2028269334273
2005,45.4209541304287
2006,32.0553475004254
2007,27.2999410422849
2008,31.692789787854
2009,23.4515116348927
2010,16.9238005283075
2011,19.4829732515079
2012,40.7188078232142
2013,37.0497319770582
2014,45.9229595795338
2015,37.2220722132431
2016,31.8155587349103
2017,30.3725040650471
2018,37.9231493648513
2019,42.7423454218613
2020,28.6302173953036
