"Year","Dec_FFDI"
1950,37.8394755078601
1951,37.005974435187
1952,26.3646598832432
1953,34.4460901532854
1954,32.1218050011309
1955,32.7629167548506
1956,32.8119675111977
1957,55.5246100652786
1958,28.367525154378
1959,29.5081860203764
1960,45.350847731421
1961,48.6448257495831
1962,51.4749866667248
1963,41.751279690565
1964,21.5382956343812
1965,39.2432355261468
1966,29.3195250127223
1967,46.6567899860861
1968,34.7095762806021
1969,36.4335047734248
1970,46.586696195396
1971,31.9757786209965
1972,64.2904814848136
1973,57.0357983163941
1974,35.4247127962319
1975,58.0948522823714
1976,74.460704572273
1977,53.3045914307301
1978,36.2819316253002
1979,50.6921849188867
1980,63.9768287856857
1981,51.6340115534795
1982,49.2166508596181
1983,57.5450257470597
1984,42.3333523325074
1985,28.3675744894779
1986,30.1310491685743
1987,37.1823742523854
1988,34.4680428030171
1989,45.8764396271148
1990,119.851317401572
1991,50.7536564781552
1992,15.5905273528326
1993,43.8478564307803
1994,80.3798024561498
1995,28.7848176130485
1996,38.3974630677855
1997,53.9889542881028
1998,51.2846623540441
1999,53.7008286348153
2000,66.7417320482659
2001,54.9595128674528
2002,73.7959096834257
2003,54.4692549272017
2004,50.6752809466738
2005,73.040268043419
2006,77.1166840260163
2007,74.3437919946976
2008,35.2957512950484
2009,63.0349207956554
2010,66.186697278704
2011,33.6885795923539
2012,58.8852058096882
2013,81.2960985687388
2014,47.0932424016845
2015,89.379695578571
2016,53.6696618398031
2017,47.3896398255319
2018,78.0355353582473
2019,98.3709190005348
