"Year","Feb_FFDI"
1950,22.9625918483321
1951,44.3865070921002
1952,44.8268381919696
1953,38.6944397269905
1954,32.5138030526958
1955,30.4050959384803
1956,42.1778627948844
1957,37.0687080482384
1958,47.289793262234
1959,33.0486695343282
1960,26.8505001769953
1961,46.3028918840152
1962,51.2386972171404
1963,35.3524994540524
1964,38.8282474253601
1965,49.0229536774871
1966,36.4411146733668
1967,48.4610220013243
1968,57.1366032356824
1969,32.1033719298127
1970,47.2377164766386
1971,29.8496701954763
1972,37.8790188248539
1973,15.6080915793712
1974,24.8246232152501
1975,52.3110386736981
1976,33.5354711937182
1977,51.2455649024996
1978,42.7131568611442
1979,39.7936925764208
1980,70.6352109207219
1981,39.7748741215958
1982,60.7127574078448
1983,121.195492996282
1984,42.4692214453891
1985,40.6224259710931
1986,37.5171022126169
1987,80.225982732071
1988,55.2064075387402
1989,63.5008640371876
1990,33.7786967372481
1991,78.621955772499
1992,62.063097734988
1993,51.1847631281072
1994,33.5945138146867
1995,41.9602198167281
1996,49.5079972651098
1997,50.5217970150374
1998,92.5417317972555
1999,33.8531011606192
2000,50.8381928035191
2001,48.0048910363928
2002,40.0073948154202
2003,55.2220764325295
2004,85.3844776070995
2005,52.2909549325059
2006,44.3735770601215
2007,58.8042237418039
2008,41.0385382103198
2009,124.327476864769
2010,44.4400547324837
2011,45.0893982313412
2012,41.961813121647
2013,50.394420656807
2014,68.6442984213561
2015,63.3202620006743
2016,45.9574585126076
2017,67.8985579519561
2018,50.1570931471787
2019,75.2040340539181
2020,30.2433876722922
