"Year","June_FFDI"
1950,4.23057880288079
1951,3.6726802030167
1952,3.72678594336365
1953,6.61873912914491
1954,6.52416977428255
1955,4.30738424480735
1956,2.27296872546663
1957,9.14727275608938
1958,10.4956681718042
1959,8.58613143958055
1960,3.12596390360878
1961,6.78746921727152
1962,7.992112688946
1963,3.4535671289349
1964,6.00744955325539
1965,6.87782085406316
1966,6.10698038107389
1967,7.60720603496997
1968,2.55953598693336
1969,10.7946079799107
1970,5.59241941687349
1971,4.82745275662575
1972,10.4266952229785
1973,5.11514472755003
1974,5.89146839282213
1975,8.79775224000345
1976,15.4520156269982
1977,6.27527611957484
1978,5.63079592263028
1979,7.3740916097319
1980,5.45898622609836
1981,4.01858811615865
1982,11.8655070618634
1983,4.49924743110999
1984,14.6299417359488
1985,8.33605018529025
1986,4.93056220925732
1987,4.30127016445259
1988,5.04880625912637
1989,4.03255960796819
1990,10.1705547989189
1991,10.4372282688752
1992,9.12434690855282
1993,12.8471797813069
1994,14.128024287038
1995,3.94756314351961
1996,9.07463926567144
1997,18.4957910760657
1998,10.335294044379
1999,8.45759627210113
2000,7.35105882268963
2001,13.5225942103894
2002,18.3375641339785
2003,15.7803558931722
2004,8.75309769312541
2005,16.2801818021964
2006,7.52120817481697
2007,6.55886118236558
2008,8.98944832649066
2009,14.8508803338716
2010,7.5218485918912
2011,6.61365955319756
2012,13.9176670431575
2013,4.91907556026013
2014,6.09394017855326
2015,5.43747016413387
2016,4.99184326846878
2017,4.90008124231776
2018,7.94708838400903
2019,6.95002546248498
2020,6.60082572105127
