"Year","March_FFDI"
1950,17.1073912046688
1951,35.431475304938
1952,31.3660164416094
1953,41.2487749702487
1954,33.4431601767932
1955,33.6220682069853
1956,17.8789977242936
1957,26.8442148728804
1958,26.0625693911598
1959,36.4820791302305
1960,42.2063162337134
1961,33.6222113407019
1962,29.9799556979885
1963,27.1733989013738
1964,33.034755409538
1965,44.3874866683762
1966,44.1376570664443
1967,27.0239466382312
1968,36.3734810981916
1969,34.825285866147
1970,28.8001121339344
1971,32.6985723982642
1972,25.2423618201054
1973,23.632505165034
1974,27.3040765043977
1975,34.1588529363855
1976,33.1751867104402
1977,59.282658250817
1978,55.8695211369238
1979,38.2326771954953
1980,52.4740027885932
1981,38.4392634057379
1982,30.8879132539163
1983,39.0367615687383
1984,33.7389688863383
1985,33.206672883137
1986,62.6720822321904
1987,28.9792144990071
1988,51.7635583918848
1989,37.2675065870409
1990,36.2267400237905
1991,54.2290972424792
1992,42.1823628908628
1993,21.3772367357692
1994,33.1077185131255
1995,27.9282894712506
1996,51.5961411050904
1997,44.9538523934104
1998,73.2203913106547
1999,28.0193079209431
2000,42.0901818296094
2001,38.6775228161832
2002,53.412882503493
2003,50.8886506712282
2004,52.4747839097853
2005,66.0903128917083
2006,82.381548497584
2007,47.6057433751754
2008,56.096510833476
2009,63.4254018445036
2010,30.2808040106967
2011,22.0039735108743
2012,28.5624926926254
2013,47.2972895799777
2014,31.3752868289039
2015,32.6320796817928
2016,51.0892821638099
2017,57.0019553708824
2018,56.1105634846213
2019,43.6112857835117
2020,52.5671114735789
