"Year","Oct_FFDI"
1950,18.332348084553
1951,16.9958533786592
1952,11.4506254629655
1953,17.0332476298014
1954,21.6758425741485
1955,22.2348090456678
1956,8.7953239127155
1957,42.4396952426795
1958,10.3736643584776
1959,15.2118602067361
1960,24.3702933447702
1961,29.4933885557827
1962,17.0782415484969
1963,17.0473904836745
1964,19.9343742023815
1965,46.6680983010825
1966,15.0285083060657
1967,36.7582213166472
1968,15.2423465220959
1969,26.0933009019662
1970,18.1971114971937
1971,19.9817000797817
1972,20.906608734296
1973,7.97327658417937
1974,8.7884002103434
1975,11.7219267490106
1976,12.6811118208485
1977,47.5213424302799
1978,14.5142334838966
1979,12.6790183963198
1980,15.7979820775779
1981,23.2173473019621
1982,49.8592693527023
1983,7.26729208876044
1984,25.8142808897671
1985,22.6544154113505
1986,11.6305963136417
1987,18.6218646078399
1988,44.7846281456225
1989,11.1186796328722
1990,31.5297670529518
1991,44.9933076586042
1992,10.636265928095
1993,9.20787490497936
1994,44.7438750494094
1995,33.0651241773135
1996,18.8166166569763
1997,36.5899681239933
1998,31.9147395261954
1999,24.68706566534
2000,33.1946480903791
2001,28.0580974306379
2002,64.3284540135107
2003,23.5107897886466
2004,72.9471214261406
2005,15.6347918737502
2006,80.8357664000936
2007,57.0160458139527
2008,52.0735643642805
2009,18.1448964308867
2010,14.8788858306356
2011,26.4511075288186
2012,34.4806914474025
2013,46.3295106351118
2014,60.8060965104537
2015,65.1917976197742
2016,22.1769908640808
2017,34.2222408773579
2018,44.0359101873456
2019,46.7063601522735
